fecha,hora,minuto,canal,programa,franja
2026-09-07,11,13,CON-Canal 5,CROODS FAMILY TREE,A
2026-09-07,17,30,CON-nu9ve,P. AMOR EN LAS NUBES,AA
2026-09-07,17,40,CON-Las Estrellas,RUBI,AA
2026-09-07,19,48,CON-Las Estrellas,LA ROSA DE GUADALUPE,AAA
2026-09-07,20,47,CON-Canal 5,P. MATILDA,AAA
2026-09-07,22,53,CON-nu9ve,CASO CERRADO: EDICION ESTELAR,AAA
2026-09-08,13,46,CON-Canal 5,LOS JOVENES TITANES EN ACCION,AA
2026-09-08,15,11,CON-Canal 5,MIRACULOUS: LAS AVENTURAS DE LADYBUG,AA
2026-09-08,17,57,CON-nu9ve,P. CARITA DE PRIMAVERA,AA
2026-09-08,18,1,CON-Las Estrellas,RUBI,AAA
2026-09-08,19,40,CON-Canal 5,LA PICARA SOÑADORA,AAA
2026-09-08,19,58,CON-nu9ve,TOP CHEF VIP,AAA
2026-09-08,22,17,CON-Las Estrellas,GUARDIAN DE MI VIDA,AAA
2026-09-08,23,47,CON-nu9ve,LOBO MORIR MATANDO,AAA
2026-09-09,8,40,CON-Las Estrellas,DESPIERTA 2,A
2026-09-09,9,36,CON-Canal 5,EL SHOW DE TOM Y JERRY,A
2026-09-09,11,12,CON-Canal 5,CROODS FAMILY TREE,A
2026-09-09,14,36,CON-Las Estrellas,EL CHAVO,AA
2026-09-09,18,16,CON-nu9ve,P. CINCO EN LA CARCEL,AAA
2026-09-09,19,18,CON-nu9ve,TOP CHEF VIP,AAA
2026-09-09,21,56,CON-Las Estrellas,GUARDIAN DE MI VIDA,AAA
2026-09-09,22,24,CON-nu9ve,CASO CERRADO: EDICION ESTELAR,AAA
2026-09-10,9,48,CON-Las Estrellas,HOY,A
2026-09-10,11,14,CON-Canal 5,CROODS FAMILY TREE,A
2026-09-10,12,11,CON-Canal 5,JURASSIC WORLD: TEORIA DEL CAOS,AA
2026-09-10,12,22,CON-Las Estrellas,CUENTAMELO YA!,AA
2026-09-10,13,23,CON-Canal 5,LOS JOVENES TITANES EN ACCION,AA
2026-09-10,16,30,CON-nu9ve,P. LA MOMIA AZTECA,AA
2026-09-10,17,50,CON-nu9ve,P. LA COYOTA,AA
2026-09-10,19,15,CON-nu9ve,TOP CHEF VIP,AAA
2026-09-10,19,21,CON-Canal 5,LA PICARA SOÑADORA,AAA
2026-09-10,20,39,CON-Las Estrellas,TAN CERCA DE TI NACE EL AMOR,AAA
2026-09-10,21,9,CON-Canal 5,P. CHARLIE Y LA FABRICA DE CHOCOLATE,AAA
2026-09-10,22,21,CON-nu9ve,CASO CERRADO: EDICION ESTELAR,AAA
2026-09-11,7,14,CON-Las Estrellas,DESPIERTA,A
2026-09-11,10,22,CON-Las Estrellas,HOY,A
2026-09-11,13,40,CON-Las Estrellas,COMO DICE EL DICHO,AA
2026-09-11,16,11,CON-Canal 5,BOB ESPONJA,AA
2026-09-11,16,20,CON-nu9ve,P. AL COMPAS DEL ROCK AND ROLL,AA
2026-09-11,18,6,CON-Canal 5,MI QUERIDO ENEMIGO,AAA
2026-09-11,19,18,CON-Canal 5,LA PICARA SOÑADORA,AAA
2026-09-11,19,54,CON-nu9ve,TOP CHEF VIP,AAA
2026-09-11,21,6,CON-Canal 5,P. LUNA DE MIEL EN FAMILIA,AAA
2026-09-11,23,46,CON-nu9ve,LOBO MORIR MATANDO,AAA
2026-09-12,6,39,CON-Las Estrellas,EL CHAPULIN COLORADO,A
2026-09-12,9,7,CON-Canal 5,P. LASSIE,A
2026-09-12,9,28,CON-Canal 5,P. LASSIE,A
2026-09-12,11,57,CON-Canal 5,P. HOTEL PARA PERROS,A
2026-09-12,18,10,CON-Las Estrellas,JUAN GABRIEL: DEBO PUEDO Y QUIERO,AAA
2026-09-12,19,42,CON-nu9ve,P. LAGUNILLA MI BARRIO 2,AAA
2026-09-12,21,29,CON-nu9ve,P. NOSOTROS LOS NOBLES,AAA
2026-09-12,22,28,CON-Las Estrellas,LA ROSA DE GUADALUPE,AAA
2026-09-12,23,53,CON-Las Estrellas,SIN MIEDO A LA VERDAD,AAA
2026-09-13,9,42,CON-Canal 5,LAS TORTUGAS NINJA,A
2026-09-13,10,40,CON-Canal 5,LAS TORTUGAS NINJA,A
2026-09-13,14,50,CON-Las Estrellas,ACCION,AA
2026-09-13,15,47,CON-Las Estrellas,P. DON QUIJOTE CABALGA DE NUEVO,AA
2026-09-13,20,38,CON-Canal 5,P. ROCKY BALBOA,AAA
2026-09-13,23,52,CON-nu9ve,LA HORA PICO,AAA
